,image,clusterid,stations,Time
0,15550.2021-11-16T233014.846110Z.png,1,15550,2021-11-16T233014
1,15550.2021-11-16T230014.846000Z.png,1,15550,2021-11-16T230014
2,15550.2021-11-16T223014.846110Z.png,1,15550,2021-11-16T223014
3,15550.2021-11-16T220014.846000Z.png,1,15550,2021-11-16T220014
4,15550.2021-11-16T213014.846110Z.png,1,15550,2021-11-16T213014
5,15550.2021-11-16T210014.846000Z.png,1,15550,2021-11-16T210014
6,15550.2021-11-16T203014.846110Z.png,1,15550,2021-11-16T203014
7,15550.2021-11-16T200014.846000Z.png,1,15550,2021-11-16T200014
8,15550.2021-11-16T193014.846110Z.png,1,15550,2021-11-16T193014
9,15550.2021-11-16T190014.846000Z.png,1,15550,2021-11-16T190014
10,15550.2021-11-16T183014.846110Z.png,1,15550,2021-11-16T183014
11,15550.2021-11-16T180014.846000Z.png,1,15550,2021-11-16T180014
12,15550.2021-11-16T173014.846110Z.png,1,15550,2021-11-16T173014
13,15550.2021-11-16T170014.846000Z.png,1,15550,2021-11-16T170014
14,15550.2021-11-16T163014.846110Z.png,1,15550,2021-11-16T163014
15,15550.2021-11-16T160014.846000Z.png,1,15550,2021-11-16T160014
16,15550.2021-11-16T153014.846110Z.png,1,15550,2021-11-16T153014
17,15550.2021-11-16T150014.846000Z.png,1,15550,2021-11-16T150014
18,15550.2021-11-16T143014.846110Z.png,1,15550,2021-11-16T143014
19,15550.2021-11-16T140014.846000Z.png,1,15550,2021-11-16T140014
20,15550.2021-11-16T133014.846110Z.png,1,15550,2021-11-16T133014
21,15550.2021-11-16T130014.846000Z.png,1,15550,2021-11-16T130014
22,15550.2021-11-16T123014.846110Z.png,1,15550,2021-11-16T123014
23,15550.2021-11-16T120014.846000Z.png,1,15550,2021-11-16T120014
24,15550.2021-11-16T113014.846110Z.png,1,15550,2021-11-16T113014
25,15550.2021-11-16T110014.846000Z.png,1,15550,2021-11-16T110014
26,15550.2021-11-16T103014.846110Z.png,1,15550,2021-11-16T103014
27,15550.2021-11-16T100014.846000Z.png,1,15550,2021-11-16T100014
28,15550.2021-11-16T093014.846110Z.png,1,15550,2021-11-16T093014
29,15550.2021-11-16T090014.846000Z.png,1,15550,2021-11-16T090014
30,15550.2021-11-16T083014.846110Z.png,1,15550,2021-11-16T083014
31,15550.2021-11-16T080014.846000Z.png,1,15550,2021-11-16T080014
32,15550.2021-11-16T073014.846110Z.png,1,15550,2021-11-16T073014
33,15550.2021-11-16T070014.846000Z.png,1,15550,2021-11-16T070014
34,15550.2021-11-16T063014.846110Z.png,1,15550,2021-11-16T063014
35,15550.2021-11-16T060014.846000Z.png,1,15550,2021-11-16T060014
36,15550.2021-11-16T053014.846110Z.png,1,15550,2021-11-16T053014
37,15550.2021-11-16T050014.846000Z.png,1,15550,2021-11-16T050014
